OrderID,OrderDate,ShipDate,ShipMode,AddressID
CA-2014-100006,2014-09-07,9/13/2014,Standard Class,024
CA-2014-100090,2014-07-08,7/12/2014,Standard Class,035
CA-2014-100293,2014-03-14,3/18/2014,Standard Class,134
CA-2014-100328,2014-01-28,2/3/2014,Standard Class,024
CA-2014-100363,2014-04-08,4/15/2014,Standard Class,277
CA-2014-100391,2014-05-25,5/29/2014,Standard Class,046
CA-2014-100678,2014-04-18,4/22/2014,Standard Class,015
CA-2014-100706,2014-12-16,12/18/2014,Second Class,029
CA-2014-100762,2014-11-24,11/29/2014,Standard Class,031
CA-2014-100860,2014-03-26,3/30/2014,Second Class,283
CA-2014-100867,2014-10-19,10/24/2014,Standard Class,469
CA-2014-100881,2014-03-28,4/1/2014,Standard Class,384
CA-2014-100895,2014-06-02,6/6/2014,Standard Class,237
CA-2014-100916,2014-10-21,10/26/2014,Standard Class,390
CA-2014-100972,2014-11-19,11/24/2014,Second Class,364
CA-2014-101147,2014-12-02,12/4/2014,First Class,037
CA-2014-101175,2014-12-09,12/14/2014,Standard Class,155
CA-2014-101266,2014-08-27,8/30/2014,Second Class,029
CA-2014-101364,2014-12-22,12/26/2014,Standard Class,165
CA-2014-101392,2014-12-07,12/13/2014,Standard Class,006
CA-2014-101427,2014-12-26,12/30/2014,Standard Class,012
CA-2014-101462,2014-04-20,4/25/2014,Standard Class,063
CA-2014-101476,2014-09-12,9/13/2014,First Class,132
CA-2014-101560,2014-11-28,12/1/2014,Second Class,038
CA-2014-101602,2014-12-15,12/18/2014,First Class,295
CA-2014-101770,2014-03-31,4/4/2014,Standard Class,124
CA-2014-101833,2014-11-17,11/22/2014,Second Class,024
CA-2014-101931,2014-10-28,10/31/2014,First Class,014
CA-2014-102008,2014-09-30,10/4/2014,Standard Class,165
CA-2014-102085,2014-10-04,10/9/2014,Standard Class,061
CA-2014-102274,2014-11-21,11/26/2014,Standard Class,127
CA-2014-102295,2014-11-24,11/26/2014,Second Class,380
CA-2014-102330,2014-12-29,1/3/2015,Standard Class,091
CA-2014-102645,2014-01-23,1/28/2014,Standard Class,122
CA-2014-102652,2014-04-06,4/12/2014,Standard Class,014
CA-2014-102673,2014-11-01,11/5/2014,Standard Class,044
CA-2014-102869,2014-09-09,9/14/2014,Second Class,012
CA-2014-102988,2014-04-05,4/9/2014,Second Class,213
CA-2014-103058,2014-07-23,7/24/2014,First Class,165
